idx,external_id,channel,canonical_status,product_type,items_count,total_amount,currency,edge_case,webhook_target
0,3000000000000001,mercadolibre,paid,single,1,72494.89,ARS,,/orders/3000000000000001
1,3000000000000002,woocommerce,paid,single,1,61235.63,ARS,,
2,3000000000000003,mercadolibre,paid,single,1,673521.68,ARS,,/orders/3000000000000003
3,3000000000000004,woocommerce,paid,single,1,87773.58,ARS,,
4,3000000000000005,mercadolibre,paid,single,1,129135.2,ARS,,/orders/3000000000000005
5,3000000000000006,woocommerce,paid,single,1,102418.04,ARS,,
6,3000000000000007,mercadolibre,paid,single,1,693749,ARS,no_resource,
7,3000000000000008,woocommerce,paid,single,1,58128.4,ARS,,
8,3000000000000009,mercadolibre,paid,single,1,135786.26,ARS,,/orders/3000000000000009
9,3000000000000010,woocommerce,paid,single,1,94232.61,ARS,,
10,3000000000000011,mercadolibre,paid,single,1,88807.51,ARS,,/orders/3000000000000011
11,3000000000000012,woocommerce,paid,single,1,85533.14,ARS,,
12,3000000000000013,mercadolibre,paid,single,1,76893.4,ARS,unsupported_topic,/orders/3000000000000013
13,3000000000000014,woocommerce,paid,single,1,86327.42,ARS,,
14,3000000000000015,mercadolibre,paid,single,1,82959.14,ARS,,/orders/3000000000000015
15,3000000000000016,woocommerce,paid,single,1,73892.35,ARS,,
16,3000000000000017,mercadolibre,paid,single,1,91532.92,ARS,,/orders/3000000000000017
17,3000000000000018,woocommerce,paid,single,1,69880.57,ARS,,
18,3000000000000019,mercadolibre,paid,single,1,155194.92,ARS,,/orders/3000000000000019
19,3000000000000020,woocommerce,paid,single,1,111168.29,ARS,null_buyer_id,
20,3000000000000021,mercadolibre,paid,single,1,73351.84,ARS,,/orders/3000000000000021
21,3000000000000022,woocommerce,paid,single,1,100680.46,ARS,,
22,3000000000000023,mercadolibre,paid,single,1,307241.56,ARS,,/orders/3000000000000023
23,3000000000000024,woocommerce,paid,single,1,105790.68,ARS,,
24,3000000000000025,mercadolibre,paid,single,1,113050.84,ARS,,/orders/3000000000000025
25,3000000000000026,woocommerce,paid,single,1,111312.48,ARS,,
26,3000000000000027,mercadolibre,paid,single,2,987614.05,ARS,high_value,/orders/3000000000000027
27,3000000000000028,woocommerce,paid,single,1,62659.21,ARS,,
28,3000000000000029,mercadolibre,paid,single,1,163796.82,ARS,,/orders/3000000000000029
29,3000000000000030,woocommerce,paid,single,1,194077.13,ARS,,
30,3000000000000031,mercadolibre,paid,single,1,412762.96,ARS,,/orders/3000000000000031
31,3000000000000032,woocommerce,paid,single,1,113486.95,ARS,,
32,3000000000000033,mercadolibre,paid,single,1,209727.6,ARS,,/orders/3000000000000033
33,3000000000000034,woocommerce,paid,single,1,3547.88,ARS,low_value,
34,3000000000000035,mercadolibre,paid,single,1,388082.28,ARS,,/orders/3000000000000035
35,3000000000000036,woocommerce,paid,single,1,70150.29,ARS,,
36,3000000000000037,mercadolibre,paid,single,1,237041.2,ARS,,/orders/3000000000000037
37,3000000000000038,woocommerce,paid,single,1,61864.1,ARS,,
38,3000000000000039,mercadolibre,paid,single,1,282859.92,ARS,,/orders/3000000000000039
39,3000000000000040,woocommerce,paid,single,1,97107.57,ARS,,
40,3000000000000041,mercadolibre,paid,single,1,241279.12,ARS,,/orders/3000000000000041
41,3000000000000042,woocommerce,paid,single,1,154614.49,ARS,,
42,3000000000000043,mercadolibre,paid,single,1,164898.12,ARS,duplicate,/orders/3000000000000042
43,3000000000000044,woocommerce,paid,single,1,71684.98,ARS,,
44,3000000000000045,mercadolibre,paid,single,1,62667.4,ARS,,/orders/3000000000000045
45,3000000000000046,woocommerce,paid,single,1,65972.51,ARS,,
46,3000000000000047,mercadolibre,paid,single,1,100871.66,ARS,,/orders/3000000000000047
47,3000000000000048,woocommerce,paid,single,0,0,ARS,no_items,
48,3000000000000049,mercadolibre,paid,single,1,80479.09,ARS,,/orders/3000000000000049
49,3000000000000050,woocommerce,paid,single,1,82449.16,ARS,,
50,3000000000000051,mercadolibre,paid,single,1,281590.08,ARS,,/orders/3000000000000051
51,3000000000000052,woocommerce,paid,single,1,139443.08,ARS,,
52,3000000000000053,mercadolibre,paid,single,1,151273.3,ARS,,/orders/3000000000000053
53,3000000000000054,woocommerce,paid,single,1,91769.75,ARS,,
54,3000000000000055,mercadolibre,shipped,double,1,199154.3,ARS,,/orders/3000000000000055
55,3000000000000056,woocommerce,shipped,double,1,155703.72,ARS,,
56,3000000000000057,mercadolibre,shipped,double,1,114118.04,ARS,,/orders/3000000000000057
57,3000000000000058,woocommerce,shipped,double,1,339759.88,ARS,,
58,3000000000000059,mercadolibre,shipped,double,1,126654.22,ARS,,/orders/3000000000000059
59,3000000000000060,woocommerce,shipped,double,1,118011.76,ARS,,
60,3000000000000061,mercadolibre,shipped,double,1,114460.92,ARS,,/orders/3000000000000061
61,3000000000000062,woocommerce,shipped,double,1,134584.9,ARS,,
62,3000000000000063,mercadolibre,shipped,double,1,392392.26,ARS,,/orders/3000000000000063
63,3000000000000064,woocommerce,shipped,double,1,155927,ARS,,
64,3000000000000065,mercadolibre,shipped,double,1,227987.82,ARS,,/orders/3000000000000065
65,3000000000000066,woocommerce,shipped,double,1,201482.66,ARS,,
66,3000000000000067,mercadolibre,shipped,double,1,126347.54,ARS,,/orders/3000000000000067
67,3000000000000068,woocommerce,shipped,double,1,112389.06,ARS,,
68,3000000000000069,mercadolibre,shipped,double,1,214844.84,ARS,,/orders/3000000000000069
69,3000000000000070,woocommerce,shipped,double,1,219057.7,ARS,,
70,3000000000000071,mercadolibre,shipped,double,1,163767.6,ARS,,/orders/3000000000000071
