wc_id,estado,t_received,t_ack,t_llm_generated,t_dispatched,ack_ms,llm_ms,dispatch_ms,e2e_ms,wamid,msg_status,validator_passes,cost_usd,llm_latency_ms
18,pending_payment,2026-09-10 01:12:41.233+00,2026-09-10 01:12:41.233+00,2026-09-10 01:12:42.217125+00,2026-09-10 01:12:43.584889+00,0,984,1368,2352,wamid.HBgNNTQ5MjYxMzA3NTg1MBUCABEYEjU2OTU2Mjk1RjRGNTc0MENBMwA=,sent,1,0.000144,913
19,pending_payment,2026-09-10 01:13:01.296+00,2026-09-10 01:13:01.296+00,2026-09-10 01:13:02.616498+00,2026-09-10 01:13:03.897701+00,0,1320,1281,2602,wamid.HBgNNTQ5MjYxMzI3MzkxNhUCABEYEkFFMDM4MTdFRTFDOTkzQUM1MAA=,sent,1,0.000147,1258
20,paid,2026-09-10 01:13:21.363+00,2026-09-10 01:13:21.363+00,2026-09-10 01:13:22.425222+00,2026-09-10 01:13:23.743502+00,0,1062,1318,2381,wamid.HBgNNTQ5MjYxNTkxNTM5MBUCABEYEjNBNjFDNUEzMjM5NDhDQjQxNgA=,sent,1,0.000144,994
21,paid,2026-09-10 01:13:41.432+00,2026-09-10 01:13:41.432+00,2026-09-10 01:13:42.667413+00,2026-09-10 01:13:44.126223+00,0,1235,1459,2694,wamid.HBgNNTQ5MjYxMzA3NTg1MBUCABEYEjc0NEIwNUU5NzQ4REIyN0UzMgA=,sent,1,0.000147,1142
22,paid,2026-09-10 01:14:01.503+00,2026-09-10 01:14:01.503+00,2026-09-10 01:14:02.596481+00,2026-09-10 01:14:03.937255+00,0,1093,1341,2434,wamid.HBgNNTQ5MjYxMzI3MzkxNhUCABEYEjcxNkNCNjg2MkM0QjlENUUzOQA=,sent,1,0.000144,1016
23,delivered,2026-09-10 01:14:21.568+00,2026-09-10 01:14:21.568+00,2026-09-10 01:14:23.017319+00,2026-09-10 01:14:24.323212+00,0,1449,1306,2755,wamid.HBgNNTQ5MjYxNTkxNTM5MBUCABEYEjg2OEI4NTQ5NEY0RTI4NkEwMwA=,sent,1,0.000147,1379
24,delivered,2026-09-10 01:14:41.63+00,2026-09-10 01:14:41.63+00,2026-09-10 01:14:42.663797+00,2026-09-10 01:14:44.090068+00,0,1034,1426,2460,wamid.HBgNNTQ5MjYxMzA3NTg1MBUCABEYEjY2OUYwMjMxMjMwQkJFNDA2QgA=,sent,1,0.000146,965
25,delivered,2026-09-10 01:15:01.701+00,2026-09-10 01:15:01.701+00,2026-09-10 01:15:02.788766+00,2026-09-10 01:15:04.060414+00,0,1088,1272,2359,wamid.HBgNNTQ5MjYxMzI3MzkxNhUCABEYEkJCRDQ5NkM5OUI3MjBDQjUxMAA=,sent,1,0.000148,1022
26,cancelled,2026-09-10 01:15:21.764+00,2026-09-10 01:15:21.764+00,2026-09-10 01:15:23.072675+00,2026-09-10 01:15:24.544301+00,0,1309,1472,2780,wamid.HBgNNTQ5MjYxNTkxNTM5MBUCABEYEkQxNTI0RjA1QThGQTI2NzA0QQA=,sent,1,0.000146,1240
27,refunded,2026-09-10 01:15:41.825+00,2026-09-10 01:15:41.825+00,2026-09-10 01:15:42.978895+00,2026-09-10 01:15:44.388184+00,0,1154,1409,2563,wamid.HBgNNTQ5MjYxMzA3NTg1MBUCABEYEjE5OUE2OTBEOEE5RDQxRjE4MwA=,sent,1,0.000147,1084
