external_id,channel,canonical_status,edge_case,http_status,fire_ms,error,ack_ms,e2e_ms,provider,is_fallback,prompt_tokens,completion_tokens,cost_usd,validator_passes,n_validator_failures,message_status,wa_simulated,db_persisted
3000000000000001,mercadolibre,paid,,200,119,,0,1172,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000003,mercadolibre,paid,,200,69,,0,1349,openai,false,742,58,0.000146,1,0,sent,true,true
3000000000000005,mercadolibre,paid,,200,42,,0,1042,openai,false,740,59,0.000146,1,0,sent,true,true
3000000000000007,mercadolibre,paid,no_resource,400,45,,,,,,,,,,,,,false
3000000000000009,mercadolibre,paid,,200,39,,0,1097,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000011,mercadolibre,paid,,200,39,,0,1240,openai,false,741,62,0.000148,1,0,sent,true,true
3000000000000013,mercadolibre,paid,unsupported_topic,400,39,,,,,,,,,,,,,false
3000000000000015,mercadolibre,paid,,200,44,,0,1081,openai,false,741,62,0.000148,1,0,sent,true,true
3000000000000017,mercadolibre,paid,,200,39,,0,1068,openai,false,741,62,0.000148,1,0,sent,true,true
3000000000000019,mercadolibre,paid,,200,38,,0,1010,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000021,mercadolibre,paid,,200,41,,0,1015,openai,false,745,48,0.000141,1,0,sent,true,true
3000000000000023,mercadolibre,paid,,200,36,,0,1065,openai,false,745,62,0.000149,1,0,sent,true,true
3000000000000025,mercadolibre,paid,,200,41,,0,1387,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000027,mercadolibre,paid,high_value,200,40,,0,1100,openai,false,740,62,0.000148,1,0,sent,true,true
3000000000000029,mercadolibre,paid,,200,42,,0,1069,openai,false,741,57,0.000145,1,0,sent,true,true
3000000000000031,mercadolibre,paid,,200,36,,0,1063,openai,false,740,57,0.000145,1,0,sent,true,true
3000000000000033,mercadolibre,paid,,200,37,,0,985,openai,false,743,59,0.000147,1,0,sent,true,true
3000000000000035,mercadolibre,paid,,200,36,,0,983,openai,false,742,58,0.000146,1,0,sent,true,true
3000000000000037,mercadolibre,paid,,200,48,,0,1058,openai,false,740,54,0.000143,1,0,sent,true,true
3000000000000039,mercadolibre,paid,,200,38,,0,991,openai,false,741,57,0.000145,1,0,sent,true,true
