external_id,channel,status,received_at,generated_at,dispatched_at,ack_ms,interno_ms,dispatch_ms,e2e_ms,wamid,dispatch_mode,message_status,is_fallback,validator_passes,cost_usd,llm_latency_ms
3000000000000001,mercadolibre,paid,2026-09-15 04:48:59.245+00,2026-09-15 04:49:00.373122+00,2026-09-15 04:49:00.416997+00,0,1128,44,1172,wamid.sim_mu26zd9y-3j2hbsnu,simulate,sent,f,1,0.000147,1037
3000000000000003,mercadolibre,paid,2026-09-15 04:49:01.321+00,2026-09-15 04:49:02.627667+00,2026-09-15 04:49:02.670363+00,0,1307,43,1349,wamid.sim_mu26zf0i-3ayn859h,simulate,sent,f,1,0.000146,1205
3000000000000005,mercadolibre,paid,2026-09-15 04:49:03.373+00,2026-09-15 04:49:04.375443+00,2026-09-15 04:49:04.4154+00,0,1002,40,1042,wamid.sim_mu26zgd0-q41g1fkq,simulate,sent,f,1,0.000146,931
3000000000000009,mercadolibre,paid,2026-09-15 04:49:07.478+00,2026-09-15 04:49:08.536739+00,2026-09-15 04:49:08.575094+00,0,1059,38,1097,wamid.sim_mu26zjkj-iellaqak,simulate,sent,f,1,0.000147,989
3000000000000011,mercadolibre,paid,2026-09-15 04:49:09.516+00,2026-09-15 04:49:10.704925+00,2026-09-15 04:49:10.755815+00,0,1189,51,1240,wamid.sim_mu26zl95-n8iwn1pi,simulate,sent,f,1,0.000148,1110
3000000000000015,mercadolibre,paid,2026-09-15 04:49:13.617+00,2026-09-15 04:49:14.653467+00,2026-09-15 04:49:14.698312+00,0,1036,45,1081,wamid.sim_mu26zoah-fw12qmwn,simulate,sent,f,1,0.000148,962
3000000000000017,mercadolibre,paid,2026-09-15 04:49:15.669+00,2026-09-15 04:49:16.699989+00,2026-09-15 04:49:16.737199+00,0,1031,37,1068,wamid.sim_mu26zpva-3svp2g7t,simulate,sent,f,1,0.000148,964
3000000000000019,mercadolibre,paid,2026-09-15 04:49:17.722+00,2026-09-15 04:49:18.697498+00,2026-09-15 04:49:18.732342+00,0,975,35,1010,wamid.sim_mu26zreq-kkcddwl9,simulate,sent,f,1,0.000147,908
3000000000000021,mercadolibre,paid,2026-09-15 04:49:19.771+00,2026-09-15 04:49:20.748284+00,2026-09-15 04:49:20.78623+00,0,977,38,1015,wamid.sim_mu26zszt-2v1vunh4,simulate,sent,f,1,0.000141,909
3000000000000023,mercadolibre,paid,2026-09-15 04:49:21.808+00,2026-09-15 04:49:22.836879+00,2026-09-15 04:49:22.872748+00,0,1029,36,1065,wamid.sim_mu26zulq-n624i3go,simulate,sent,f,1,0.000149,953
3000000000000025,mercadolibre,paid,2026-09-15 04:49:23.853+00,2026-09-15 04:49:25.196854+00,2026-09-15 04:49:25.240108+00,0,1344,43,1387,wamid.sim_mu26zwfi-0cs2giwy,simulate,sent,f,1,0.000147,1264
3000000000000027,mercadolibre,paid,2026-09-15 04:49:25.902+00,2026-09-15 04:49:26.951419+00,2026-09-15 04:49:27.001517+00,0,1049,50,1100,wamid.sim_mu26zxsb-1mvmd67i,simulate,sent,f,1,0.000148,980
3000000000000029,mercadolibre,paid,2026-09-15 04:49:27.952+00,2026-09-15 04:49:28.984406+00,2026-09-15 04:49:29.021285+00,0,1032,37,1069,wamid.sim_mu26zzci-iokbqtgq,simulate,sent,f,1,0.000145,952
3000000000000031,mercadolibre,paid,2026-09-15 04:49:29.994+00,2026-09-15 04:49:31.01893+00,2026-09-15 04:49:31.056944+00,0,1025,38,1063,wamid.sim_mu2700x3-ki173wlg,simulate,sent,f,1,0.000145,958
3000000000000033,mercadolibre,paid,2026-09-15 04:49:32.042+00,2026-09-15 04:49:32.991552+00,2026-09-15 04:49:33.027133+00,0,950,36,985,wamid.sim_mu2702ft-0fppu7ux,simulate,sent,f,1,0.000147,880
3000000000000035,mercadolibre,paid,2026-09-15 04:49:34.081+00,2026-09-15 04:49:35.028964+00,2026-09-15 04:49:35.063913+00,0,948,35,983,wamid.sim_mu27040e-tjo4ovys,simulate,sent,f,1,0.000146,874
3000000000000037,mercadolibre,paid,2026-09-15 04:49:36.136+00,2026-09-15 04:49:37.153074+00,2026-09-15 04:49:37.194175+00,0,1017,41,1058,wamid.sim_mu2705nk-wh31u0ez,simulate,sent,f,1,0.000143,940
3000000000000039,mercadolibre,paid,2026-09-15 04:49:38.187+00,2026-09-15 04:49:39.139421+00,2026-09-15 04:49:39.177529+00,0,952,38,991,wamid.sim_mu27076m-fg8lzwgn,simulate,sent,f,1,0.000145,886
3000000000000041,mercadolibre,paid,2026-09-15 04:49:40.241+00,2026-09-15 04:49:41.426399+00,2026-09-15 04:49:41.462926+00,0,1185,37,1222,wamid.sim_mu2708y5-hzrhsmx0,simulate,sent,f,1,0.000146,1114
3000000000000042,mercadolibre,pending_payment,2026-09-15 04:49:42.284+00,2026-09-15 04:49:43.331045+00,2026-09-15 04:49:43.365529+00,0,1047,34,1082,wamid.sim_mu270af0-bh9e7t1y,simulate,sent,f,1,0.000153,977
3000000000000045,mercadolibre,paid,2026-09-15 04:49:44.33+00,2026-09-15 04:49:45.280177+00,2026-09-15 04:49:45.321832+00,0,950,42,992,wamid.sim_mu270bxc-t6e32k6h,simulate,sent,f,1,0.000146,887
3000000000000047,mercadolibre,paid,2026-09-15 04:49:46.382+00,2026-09-15 04:49:47.374041+00,2026-09-15 04:49:47.408897+00,0,992,35,1027,wamid.sim_mu270djc-aezl0iy2,simulate,sent,f,1,0.000148,925
